,city
426,JK-18
427,JK-19
428,JK-20
429,JK-21
430,JK-22
431,KA-01
432,KA-02
433,KA-03
434,KA-04
435,KA-05
436,KA-06
437,KA-07
438,KA-08
439,KA-09
440,KA-10
441,KA-11
442,KA-12
443,KA-13
444,KA-14
445,KA-15
446,KA-16
447,KA-17
448,KA-18
449,KA-19
450,KA-20
451,KA-21
452,KA-22
453,KA-23
454,KA-24
455,KA-25
456,KA-26
457,KA-27
458,KA-28
459,KA-29
460,KA-30
461,KA-31
462,KA-32
463,KA-33
464,KA-34
465,KA-35
466,KA-36
467,KA-37
468,KA-38
469,KA-39
470,KA-40
471,KA-41
472,KA-42
473,KA-43
474,KA-44
475,KA-45
476,KA-46
477,KA-47
478,KA-48
479,KA-49
480,KA-50
481,KA-51
482,KA-52
483,KA-53
484,KA-54
485,KA-55
486,KA-56
487,KA-57
488,KA-58
489,KA-59
490,KA-60
491,KA-61
492,KA-62
493,KA-63
494,KA-64
495,KA-65
496,KA-66
497,KA-xx Fx-xxxx
498,KA-xx Gx-xxxx
499,KL-01
500,KL-02
501,KL-03
502,KL-04
503,KL-05
504,KL-06
505,KL-07
506,KL-08
507,KL-09
508,KL-10
509,KL-11
510,KL-12
511,KL-13
512,KL-14
513,KL-15
514,KL-16
515,KL-17
516,KL-18
517,KL-19
518,KL-20
519,KL-21
520,KL-22
521,KL-23
522,KL-24
523,KL-25
524,KL-26
525,KL-27
526,KL-28
527,KL-29
528,KL-30
529,KL-31
530,KL-32
531,KL-33
532,KL-34
533,KL-35
534,KL-36
535,KL-37
536,KL-38
537,KL-39
538,KL-40
539,KL-41
540,KL-42
541,KL-43
542,KL-44
543,KL-45
544,KL-46
545,KL-47
546,KL-48
547,KL-49
548,KL-50
549,KL-51
550,KL-52
551,KL-53
552,KL-54
553,KL-55
554,KL-56
555,KL-57
556,KL-58
557,KL-59
558,KL-60
559,KL-61
560,KL-62
561,KL-63
562,KL-64
563,KL-65
564,KL-66
565,KL-67
566,KL-68
567,KL-69
568,KL-70
569,KL-71
570,KL-72
571,KL-73
572,LD-01
573,LD-02
574,LD-03
575,LD-04
576,LD-05
577,LD-06
578,LD-07
579,LD-08
580,LD-09
581,MH-01
582,MH-02
583,MH-03
584,MH-04
585,MH-05
586,MH-06
587,MH-07
588,Also MSRTC buses are registered here.
589,MH-08
590,MH-09
591,MH-10
592,MH-11
593,MH-12
594,MH-13
595,MH-14
596,MH-15
597,MH-16
598,MH-17
599,MH-18
600,MH-19
601,MH-20
602,MH-21
603,MH-22
604,MH-23
605,MH-24
606,MH-25
607,MH-26
608,MH-27
609,MH-28
610,MH-29
611,MH-30
612,MH-31
613,MH-32
614,MH-33
615,MH-34
616,MH-35
617,MH-36
618,MH-37
619,MH-38
620,MH-39
621,MH-40
622,MH-41
623,MH-42
624,MH-43
625,MH-44
626,MH-45
627,MH-46
628,MH-47
629,MH-48
630,MH-49
631,MH-50
632,MH-51
633,MP-01
634,MP-02
635,MP-03
636,MP-04
637,MP-05
638,MP-06
639,MP-07
640,MP-08
641,MP-09
642,MP-10
643,MP-11
644,MP-12
645,MP-13
646,MP-14
647,MP-15
648,MP-16
649,MP-17
650,MP-18
651,MP-19
652,MP-20
653,MP-21
654,MP-22
655,MP-23
656,MP-24
657,MP-25
658,MP-26
659,MP-27
660,MP-28
661,MP-29
662,MP-30
663,MP-31
664,MP-32
665,MP-33
666,MP-34
667,MP-35
668,MP-36
669,MP-37
670,MP-38
671,MP-39
672,MP-40
673,MP-41
674,MP-42
675,MP-43
676,MP-44
677,MP-45
678,MP-46
679,MP-47
680,MP-48
681,MP-49
682,MP-50
683,MP-51
684,MP-52
685,MP-53
686,MP-54
687,MP-55
688,MP-56
689,MP-57
690,MP-58
691,MP-59
692,MP-60
693,MP-61
694,MP-62
695,MP-63
696,MP-64
697,MP-65
698,MP-66
699,MP-67
700,MP-68
701,MP-69
702,ML-01
703,ML-02
704,ML-03
705,ML-04
706,ML-05
707,ML-06
708,ML-07
709,ML-08
710,ML-09
711,ML-10
712,MN-01
713,MN-02
714,MN-03
715,MN-04
716,MN-09
717,MZ-01
718,MZ-02
719,MZ-03
720,MZ-04
721,MZ-05
722,MZ-06
723,MZ-07
724,MZ-08
725,NL-01
726,NL-02
727,NL-03
728,NL-04
729,NL-05
730,NL-06
731,NL-07
732,NL-08
733,OD-01/OR-01
734,OD-02/OR-02
735,OD-03/OR-03
736,OD-04/OR-04
737,OD-05/OR-05
738,OD-06/OR-06
739,OD-07/OR-07
740,OD-08/OR-08
741,OD-09/OR-09
742,OD-10/OR-10
743,OD-11/OR-11
744,OD-12/OR-12
745,OD-13/OR-13
746,OD-14/OR-14
747,OD-15/OR-15
748,OD-16/OR-16
749,OD-17/OR-17
750,OD-18/OR-18
751,OD-19/OR-19
752,OD-20/OR-20
753,OD-21/OR-21
754,OD-22/OR-22
755,OD-23/OR-23
756,OD-24/OR-24
757,OD-25/OR-25
758,OD-26/OR-26
759,OD-27/OR-27
760,OD-28/OR-28
761,OD-29/OR-29
762,OD-30/OR-30
763,OD-31/OR-31
764,OD-32
765,OD-33
766,OD-34
767,OD-35
768,PB-0
769,PB-02
770,PB-03
771,PB-04
772,PB-05
773,PB-06
774,PB-07
775,PB-08
776,PB-09
777,PB-10
778,PB-11
779,PB-12
780,PB-13
781,PB-14
782,PB-15
783,PB-16
784,PB-17
785,PB-18
786,PB-19
787,PB-20
788,PB-21
789,PB-22
790,PB-23
791,PB-24
792,PB-25
793,PB-26
794,PB-27
795,PB-28
796,PB-29
797,PB-30
798,PB-31
799,PB-32
800,PB-33
801,PB-34
802,PB-35
803,PB-36
804,PB-37
805,PB-38
806,PB-39
807,PB-40
808,PB-41
809,PB-42
810,PB-43
811,PB-44
812,PB-45
813,PB-46
814,PB-47
815,PB-48
816,PB-49
817,PB-50
818,PB-51
819,PB-52
820,PB-53
821,PB-54
822,PB-55
823,PB-56
824,PB-57
825,PB-58
826,PB-59
827,PB-60
828,PB-61
829,PB-62
830,PB-63
831,PB-64
832,PB-65
833,PB-66
834,PB-67
835,PB-68
836,PB-69
837,PB-70
838,PB-71
839,PB-72
840,PB-73
841,PB-74
842,PB-75
843,PB-76
844,PY-01
845,PY-02
846,PY-03
847,PY-04
848,RJ-01
849,RJ-02
850,RJ-03
851,RJ-04
852,RJ-05
853,RJ-06
854,RJ-07
855,RJ-08
856,RJ-09
857,RJ-10
858,RJ-11
859,RJ-12
860,RJ-13
861,RJ-14
862,RJ-15
863,RJ-16
864,RJ-17
865,RJ-18
866,RJ-19
867,RJ-20
868,RJ-21
869,RJ-22
870,RJ-23
871,RJ-24
872,RJ-25
873,RJ-26
874,RJ-27
875,RJ-28
876,RJ-29
877,RJ-30
878,RJ-31
879,RJ-32
880,RJ-33
881,RJ-34
882,RJ-35
883,RJ-36
884,RJ-37
885,RJ-38
886,RJ-39
887,RJ-40
888,RJ-41
889,RJ-42
890,RJ-43
891,RJ-44
892,RJ-45
893,RJ-46
894,RJ-47
895,RJ-48
896,RJ-49
897,RJ-50
898,RJ-51
899,RJ-52
900,SK-01
901,SK-02
902,SK-03
903,SK-04
904,TG-01
905,TG-02
906,TG-03
907,TG-04
908,TG-05
909,TG-06
910,TG-07
911,TG-08
912,TG-09
913,TG-10
914,TG-11
915,TG-12
916,TG-13
917,TG-14
918,TG-15
919,TN-01
920,TN-02
921,TN-03
922,TN-04
923,TN-05
924,TN-06
925,TN-07
926,TN-09
927,TN-10
928,TN-11
929,TN-12
930,TN-13
931,TN-14
932,TN-15
933,TN-16
934,TN-18
935,TN-19
936,TN-20
937,TN-21
938,TN-22
939,TN-23
940,TN-24
941,TN-25
942,TN-27
943,TN-28
944,TN-29
945,TN-30
946,TN-31
947,TN-32
948,TN-33
949,TN-34
950,TN-36
951,TN-37
952,TN-38
953,TN-39
954,TN-40
955,TN-41
956,TN-42
957,TN-43
958,TN-45
959,TN-46
960,TN-47
961,TN-48
962,TN-49
963,TN-50
964,TN-51
965,TN-52
966,TN-54
967,TN-55
968,TN-56
969,TN-57
970,TN-58
971,TN-59
972,TN-60
973,TN-61
974,TN-63
975,TN-64
976,TN-65
977,TN-66
978,TN-67
979,TN-68
980,TN-69
981,TN-70
982,TN-72
983,TN-73
984,TN-74
985,TN-75
986,TN-76
987,TN-77
988,TN-78
989,TN-79
990,TN-81
991,TN-82
992,TN-83
993,TN-84
994,TN-85
995,TN-86
996,TN-88
997,TN-90
998,TN-99
999,TR-01
1000,TR-02
1001,TR-03
1002,TR-04
1003,TR-05
1004,UK-01/UA-01
1005,UK-02/UA-02
1006,UK-03/UA-03
